month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202509,22123,"west carroll, la",147500.0,0.2395,-0.289,14,0.125,-0.0357,95.0,0.331,0.7182,4,,,0,,,0.0,0.0,0.0,2.0,-0.5,-0.5,0.1,-0.1857,-0.1202,2.0,0.0,-0.3333,95.0,0.0703,-0.0267,1814.0,0.0401,-0.1165,230443.0,0.1106,0.0961,16,0.1429,-0.0303,0.1481,-0.0185,-0.0661,1
202509,37077,"granville, nc",357000.0,-0.0219,-0.0657,184,0.0027,0.8821,50.0,-0.1336,0.3137,76,0.2667,0.52,4,0.0,1.0,0.0118,-0.001,0.0021,78.0,-0.025,0.5,0.2302,0.011,-0.0073,86.0,0.1104,0.1554,207.0,-0.016,-0.0449,1989.0,-0.0075,-0.0209,461013.0,0.0023,-0.1387,267,0.029,0.563,0.4659,0.0452,-0.293,0
202509,27131,"rice, mn",424213.0,-0.0065,-0.0433,167,0.1563,0.2808,42.0,0.05,0.0633,70,-0.2708,-0.0278,0,,,0.0,0.0,0.0,76.0,0.3571,0.52,0.2365,0.0668,0.0619,78.0,-0.1755,-0.0252,195.0,-0.0215,0.0132,2187.0,0.0074,0.0095,495936.0,-0.0608,0.011,247,0.0357,0.1738,0.4655,-0.1873,-0.1461,0
202509,13119,"franklin, ga",352450.0,-0.003,0.0159,106,0.0048,0.1657,71.0,0.2368,0.4462,22,-0.3125,-0.3125,0,,,0.0,0.0,0.0,36.0,-0.1818,-0.1818,0.2487,-0.0246,-0.0406,17.0,-0.3704,-0.4848,194.0,-0.0337,0.0017,1800.0,0.0,-0.0269,454901.0,-0.017,-0.0229,123,-0.0682,0.0041,0.1611,-0.096,-0.2035,0
202509,06001,"alameda, ca",892000.0,-0.0078,0.0051,2057,0.0143,0.1015,37.0,-0.0875,0.1587,1326,0.2011,0.0,46,0.2778,-0.0417,0.0108,0.0007,-0.001,572.0,-0.0774,0.0325,0.1345,-0.0208,-0.0027,870.0,0.032,-0.0023,615.0,-0.0103,-0.0114,1449.0,-0.0126,0.0324,1084136.0,-0.0182,-0.0071,2927,0.0209,0.0686,0.4229,0.0073,-0.044,0
202509,20119,"meade, ks",155000.0,-0.0313,-0.1484,15,0.1538,0.1538,60.0,-0.2994,0.0299,0,,-1.0,0,,,0.0,0.0,0.0,4.0,0.0,,0.2353,-0.0147,0.2353,2.0,0.0,0.0,98.0,-0.0303,0.0451,1598.0,-0.0169,-0.0976,168757.0,-0.0513,-0.0641,17,0.1333,0.0968,0.1333,-0.0205,-0.0205,1
202509,51683,"manassas, va",486740.0,-0.0145,-0.1384,77,-0.0316,1.4677,40.0,0.1429,1.3529,34,-0.2917,-0.2917,0,-1.0,,0.0,-0.024,0.0,44.0,0.2222,2.6667,0.3024,0.0868,0.2023,33.0,-0.1316,-0.25,271.0,-0.0358,-0.0064,1800.0,0.0,-0.122,515243.0,-0.0077,-0.0945,111,-0.0714,0.5241,0.4314,-0.0496,-0.988,1
202509,40041,"delaware, ok",399675.0,0.0017,-0.0551,363,-0.0547,0.1542,88.0,0.0762,0.1066,74,-0.1591,0.0882,2,-0.5,0.0,0.0036,-0.0035,0.0003,84.0,-0.1923,0.1667,0.164,-0.0231,-0.0071,96.0,0.0269,1.3012,214.0,-0.0131,0.0089,1869.0,0.0336,-0.0236,536266.0,0.0007,-0.0625,458,-0.0328,0.2887,0.2631,0.0209,0.1311,0
202509,46027,"clay, sd",333725.0,0.0445,0.066,34,-0.0429,0.1356,59.0,0.288,0.0922,14,0.1667,0.4,0,,,0.0,0.0,0.0,6.0,-0.5,-0.4,0.1182,-0.104,-0.1045,7.0,0.4,0.5556,144.0,-0.0681,-0.0506,2056.0,-0.0115,-0.0667,388183.0,-0.0462,0.1013,40,0.0,0.194,0.209,0.0661,0.0564,0
202509,05101,"newton, ar",339900.0,0.0071,0.0072,85,-0.0341,0.1724,124.0,0.1698,0.0736,10,-0.5,1.5,0,,,0.0,0.0,0.0,16.0,0.0,-0.2727,0.139,0.0187,-0.1133,22.0,0.0238,0.3438,213.0,0.0655,-0.0716,1728.0,0.0082,0.1642,448002.0,0.0924,0.0221,107,-0.0229,0.2456,0.2529,0.0143,0.0323,1
202509,21047,"christian, ky",251900.0,0.0282,0.0498,188,0.0246,0.0684,63.0,-0.0234,0.1364,78,0.2188,-0.1522,0,,,0.0,0.0,0.0,72.0,0.125,0.1613,0.224,0.0221,0.062,77.0,0.2541,-0.1053,163.0,-0.004,0.0177,1548.0,0.0042,-0.05,283408.0,0.0246,-0.0123,258,0.0661,0.0,0.408,0.0747,-0.0792,0
